posted,neighborhood,post title,number bedrooms,sqft,URL,price
2019-02-03 15:55:00,Dublin,Park like Setting! Top floor location. Tour and lease today!,3.0,996.0,https://sfbay.craigslist.org/eby/apa/d/livermore-park-like-setting-top-floor/6810902844.html,2865
2019-02-03 15:54:00,North Oakland,"""FULLY REMODELED"" Large Studio, 1 Bath, 5plex",,,https://sfbay.craigslist.org/eby/apa/d/emeryville-fully-remodeled-large-studio/6810898681.html,1695
2019-02-03 15:53:00,Hayward,"Single family, modern 4BR/4BA",4.0,2000.0,https://sfbay.craigslist.org/eby/apa/d/hayward-single-family-modern-4br-4ba/6810900647.html,4250
2019-02-03 15:51:00,Dublin,Large One bedroom with a garage! 24 hour gym! close to bart!,1.0,705.0,https://sfbay.craigslist.org/eby/apa/d/dublin-large-one-bedroom-with-garage-24/6810901002.html,2459
2019-02-03 15:51:00,Dublin,Looking To Move Today? 1 Month Free!  Come And See,1.0,754.0,https://sfbay.craigslist.org/eby/apa/d/pleasanton-looking-to-move-today-1/6810900827.html,2500
2019-02-03 15:49:00,Downtown Oakland,"""FULLY REMODELED"" 2 Bdrm, 1 Bath + Living Room & Laundry Room, Duplex",2.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-2-bdrm-1-bath/6810899748.html,2195
2019-02-03 15:48:00,North Oakland,"""FULLY REMODELED"" 4 Bdrm, 2 Bath + Living Room, Duplex",4.0,,https://sfbay.craigslist.org/eby/apa/d/emeryville-fully-remodeled-4-bdrm-2/6810899511.html,3595
2019-02-03 15:48:00,Fremont,Immidate Move in Lg 1b1b W/ in unit W/D @sofifremont,1.0,710.0,https://sfbay.craigslist.org/eby/apa/d/fremont-immidate-move-in-lg-1b1b-in/6810899460.html,2292
2019-02-03 15:48:00,Hayward,"Elegant & Pet Friendly 2x2, with Stainless Appliances and Quartz Tops!",2.0,1012.0,https://sfbay.craigslist.org/eby/apa/d/hayward-elegant-pet-friendly-2x2-with/6810899355.html,2698
2019-02-03 15:48:00,North Oakland,"""FULLY REMODELED"" 2 Bdrm, 1 Bath, Duplex",2.0,,https://sfbay.craigslist.org/eby/apa/d/emeryville-fully-remodeled-2-bdrm-1/6810899064.html,2395
2019-02-03 15:47:00,West Oakland,"""FULLY REMODELED"" 2 Large Bdrm, 1 Bath + Living room, Apartment",2.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-2-large-bdrm-1/6810898603.html,2295
2019-02-03 15:47:00,Dublin,Beautiful 1 bedroom With Vinyl Flooring & Stainless Steel Appliances!,1.0,686.0,https://sfbay.craigslist.org/eby/apa/d/pleasanton-beautiful-1-bedroom-with/6810898490.html,2389
2019-02-03 15:45:00,Berkeley,Commute to SF! Just One Block to BART! Move in Now!,1.0,400.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-commute-to-sf-just-one-block/6810897875.html,2343
2019-02-03 15:44:00,Oakland Downtown,Casa por renta,2.0,1000.0,https://sfbay.craigslist.org/eby/apa/d/oakland-casa-por-renta/6810897226.html,2500
2019-02-03 15:44:00,Oakland Lake Merritt,Love is in the air! 1bed 1Bath w/ walk-in closet + 1 month free rent!,1.0,710.0,https://sfbay.craigslist.org/eby/apa/d/oakland-love-is-in-the-air-1bed-1bath/6810897149.html,3145
2019-02-03 15:44:00,Oakland Hills,Large studio-detached unit - all utilities included,,550.0,https://sfbay.craigslist.org/eby/apa/d/oakland-large-studio-detached-unit-all/6810897050.html,2300
2019-02-03 15:44:00,Berkeley,Renovated in-law unit with private entrance close to everything!,,550.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-renovated-in-law-unit-with/6793639795.html,2400
2019-02-03 15:44:00,Hayward,*LOVE IS IN THE AIR* PARAISO IS WHERE YOU WANT TO BE!!,3.0,,https://sfbay.craigslist.org/eby/apa/d/hayward-love-is-in-the-air-paraiso-is/6810896911.html,2695
2019-02-03 15:43:00,Hayward,Beautiful renovated 3 bed 2 bath bungalow,3.0,1337.0,https://sfbay.craigslist.org/eby/apa/d/castro-valley-beautiful-renovated-3-bed/6789690490.html,3500
2019-02-03 15:43:00,Oakland Lake Merritt,2bed/1bath with beautiful original wood finishes,2.0,730.0,https://sfbay.craigslist.org/eby/apa/d/oakland-2bed-1bath-with-beautiful/6794244768.html,2550
2019-02-03 15:43:00,Emeryville,*Commuter Special* 2 bedroom upgraded condo in secured building,2.0,861.0,https://sfbay.craigslist.org/eby/apa/d/emeryville-commuter-special-2-bedroom/6808710703.html,3000
2019-02-03 15:43:00,Belmont,"Large family room with fireplace, high ceiling and sliding door patio",,1830.0,https://sfbay.craigslist.org/eby/apa/d/belmont-large-family-room-with/6801553530.html,1000
2019-02-03 15:42:00,Oakland North,Working & Living  Just Got More Convenient!   Live/Work Loft!,1.0,728.0,https://sfbay.craigslist.org/eby/apa/d/oakland-working-living-just-got-more/6810896353.html,3600
2019-02-03 15:40:00,Berkeley,Last Studio! Don't Miss Out! $2156!,,389.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-last-studio-dont-miss-out-2156/6810895252.html,2156
2019-02-03 15:40:00,West Oakland,"""FULLY REMODELED"" 3 Bdrm, 1 Bath, Apartment",3.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-3-bdrm-1-bath/6810895249.html,2495
2019-02-03 15:40:00,Downtown Oakland,"""FULLY REMODELED"" Large Room, 2 Shared Bath, Apartment",1.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-large-room-2/6810894977.html,850
2019-02-03 15:40:00,East Oakland,"""FULLY REMODELED"" 2 Bdrm, 1 Bath, Duplex",2.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-2-bdrm-1-bath/6810894868.html,2195
2019-02-03 15:39:00,West Oakland,"""FULLY REMODELED"" 5 Bdrm, 2 Bath, Duplex",5.0,,https://sfbay.craigslist.org/eby/apa/d/oakland-fully-remodeled-5-bdrm-2-bath/6810894727.html,3595
2019-02-03 15:39:00,Berkeley,"""FULLY REMODELED"" 2 Bdrm, 1 Bath, 4plex",2.0,,https://sfbay.craigslist.org/eby/apa/d/berkeley-fully-remodeled-2-bdrm-1-bath/6810894618.html,2195
2019-02-03 15:39:00,Pittsburg,Huge Furnished Room/Suite converted of 3 Car Garage,,,https://sfbay.craigslist.org/eby/apa/d/pittsburg-huge-furnished-room-suite/6810894322.html,950
2019-02-03 15:38:00,Fairfield,Perfect 3 Bedroom 3 Bath Thownhome Available NOW!,3.0,1590.0,https://sfbay.craigslist.org/eby/apa/d/vacaville-perfect-3-bedroom-3-bath/6810894011.html,2526
2019-02-03 15:37:00,Fairfield,♣☺♣JUST A PAW PRINT AWAY FROM THE PURR-FECT HOME♣☺,2.0,943.0,https://sfbay.craigslist.org/eby/apa/d/vacaville-just-paw-print-away-from-the/6810893271.html,1886
2019-02-03 15:36:00,Hercules,Where the City Is Your Backyard. $199 Deposit Special (OAC),2.0,1108.0,https://sfbay.craigslist.org/eby/apa/d/el-sobrante-where-the-city-is-your/6810892683.html,1953
2019-02-03 15:36:00,Berkeley,Spacious 2 Bedroom apartment! Perfect for Roommates!,2.0,856.0,https://sfbay.craigslist.org/eby/apa/d/berkeley-spacious-2-bedroom-apartment/6810892553.html,4100
2019-02-03 15:35:00,Fairfield,"Newly Remodeled Two Bedroom Town-home! Tons of Storage, Washer & Dryer",2.0,840.0,https://sfbay.craigslist.org/eby/apa/d/fairfield-newly-remodeled-two-bedroom/6810892021.html,1805
2019-02-03 15:33:00,Fairfield,Look No Further! Park Blu Has it ALL!,1.0,620.0,https://sfbay.craigslist.org/eby/apa/d/fairfield-look-no-further-park-blu-has/6810890955.html,1465
2019-02-03 15:32:00,Walnut Creek,Be Wowed With This Incredible 1X1 Downtown WC!In Unit W/D! -,1.0,766.0,https://sfbay.craigslist.org/eby/apa/d/walnut-creek-be-wowed-with-this/6810890431.html,3019
2019-02-03 15:31:00,Dublin,2BD 2.5 BA Townhome with garage,2.0,1200.0,https://sfbay.craigslist.org/eby/apa/d/pleasanton-2bd-25-ba-townhome-with/6807905951.html,2800
2019-02-03 15:31:00,Dublin,2BD 2.5 BA Townhome with garage,2.0,1200.0,https://sfbay.craigslist.org/eby/apa/d/pleasanton-2bd-25-ba-townhome-with/6809011762.html,2800
